FKL15A,ICD10_Text,Kategori
A00,A00 Cholera,Penyakit Lainnya
A01,A01 Typhoid and paratyphoid fevers,Penyakit Lainnya
A02,A02 Other salmonella infections,Penyakit Lainnya
A03,A03 Shigellosis,Penyakit Lainnya
A04,A04 Other bacterial intestinal infections,Penyakit Lainnya
A05,"A05 Other bacterial foodborne intoxications, not elsewhere classified",Penyakit Lainnya
A06,A06 Amoebiasis,Penyakit Lainnya
A07,A07 Other protozoal intestinal diseases,Penyakit Lainnya
A08,A08 Viral and other specified intestinal infections,Penyakit Lainnya
A09,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Penyakit Lainnya
A15,"A15 Respiratory tuberculosis, bacteriologically and histologically confirmed",Penyakit Lainnya
A16,"A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically",Penyakit Lainnya
A17,A17 Tuberculosis of nervous system,Penyakit Lainnya
A18,A18 Tuberculosis of other organs,Penyakit Lainnya
A19,A19 Miliary tuberculosis,Penyakit Lainnya
A20,A20 Plague,Penyakit Lainnya
A23,A23 Brucellosis,Penyakit Lainnya
A25,A25 Rat-bite fevers,Penyakit Lainnya
A27,A27 Leptospirosis,Penyakit Lainnya
A30,A30 Leprosy [Hansen disease],Penyakit Lainnya
A31,A31 Infection due to other mycobacteria,Penyakit Lainnya
A32,A32 Listeriosis,Penyakit Lainnya
A33,A33 Tetanus neonatorum,Penyakit Lainnya
A35,A35 Other tetanus,Penyakit Lainnya
A36,A36 Diphtheria,Penyakit Lainnya
A37,A37 Whooping cough,Penyakit Lainnya
A39,A39 Meningococcal infection,Penyakit Lainnya
A40,A40 Streptococcal sepsis,Penyakit Lainnya
A41,A41 Other sepsis,Penyakit Lainnya
A42,A42 Actinomycosis,Penyakit Lainnya
A44,A44 Bartonellosis,Penyakit Lainnya
A46,A46 Erysipelas,Penyakit Lainnya
A48,"A48 Other bacterial diseases, not elsewhere classified",Penyakit Lainnya
A49,A49 Bacterial infection of unspecified site,Penyakit Lainnya
A50,A50 Congenital syphilis,Penyakit Lainnya
A51,A51 Early syphilis,Penyakit Lainnya
A52,A52 Late syphilis,Penyakit Lainnya
A53,A53 Other and unspecified syphilis,Penyakit Lainnya
A54,A54 Gonococcal infection,Penyakit Lainnya
A56,A56 Other sexually transmitted chlamydial diseases,Penyakit Lainnya
A57,A57 Chancroid,Penyakit Lainnya
A58,A58 Granuloma inguinale,Penyakit Lainnya
A59,A59 Trichomoniasis,Penyakit Lainnya
A60,A60 Anogenital herpesviral [herpes simplex] infection,Penyakit Lainnya
A63,"A63 Other predominantly sexually transmitted diseases, not elsewhere classified",Penyakit Lainnya
A64,A64 Unspecified sexually transmitted disease,Penyakit Lainnya
A66,A66 Yaws,Penyakit Lainnya
A68,A68 Relapsing fevers,Penyakit Lainnya
A69,A69 Other spirochaetal infections,Penyakit Lainnya
A71,A71 Trachoma,Penyakit Lainnya
A74,A74 Other diseases caused by chlamydiae,Penyakit Lainnya
A75,A75 Typhus fever,Penyakit Lainnya
A77,A77 Spotted fever [tick-borne rickettsioses],Penyakit Lainnya
A79,A79 Other rickettsioses,Penyakit Lainnya
A81,A81 Atypical virus infections of central nervous system,Penyakit Lainnya
A82,A82 Rabies,Penyakit Lainnya
A85,"A85 Other viral encephalitis, not elsewhere classified",Penyakit Lainnya
A86,A86 Unspecified viral encephalitis,Penyakit Lainnya
A87,A87 Viral meningitis,Penyakit Lainnya
A88,"A88 Other viral infections of central nervous system, not elsewhere classified",Penyakit Lainnya
A90,A90 Dengue fever [classical dengue],Penyakit Lainnya
A91,A91 Dengue haemorrhagic fever,Penyakit Lainnya
A92,A92 Other mosquito-borne viral fevers,Penyakit Lainnya
A98,"A98 Other viral haemorrhagic fevers, not elsewhere classified",Penyakit Lainnya
A99,A99 Unspecified viral haemorrhagic fever,Penyakit Lainnya
B00,B00 Herpesviral [herpes simplex] infections,Penyakit Lainnya
B01,B01 Varicella [chickenpox],Penyakit Lainnya
B02,B02 Zoster [herpes zoster],Penyakit Lainnya
B05,B05 Measles,Penyakit Lainnya
B06,B06 Rubella [German measles],Penyakit Lainnya
B07,B07 Viral warts,Penyakit Lainnya
B08,"B08 Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",Penyakit Lainnya
B09,B09 Unspecified viral infection characterized by skin and mucous membrane lesions,Penyakit Lainnya
B15,B15 Acute hepatitis A,Penyakit Lainnya
B16,B16 Acute hepatitis B,Penyakit Lainnya
B17,B17 Other acute viral hepatitis,Penyakit Lainnya
B18,B18 Chronic viral hepatitis,Penyakit Lainnya
B19,B19 Unspecified viral hepatitis,Penyakit Lainnya
B20,B20 Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,Penyakit Lainnya
B21,B21 Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,Penyakit Lainnya
B22,B22 Human immunodeficiency virus [HIV] disease resulting in other specified diseases,Penyakit Lainnya
B23,B23 Human immunodeficiency virus [HIV] disease resulting in other conditions,Penyakit Lainnya
B24,B24 Unspecified human immunodeficiency virus [HIV] disease,Penyakit Lainnya
B25,B25 Cytomegaloviral disease,Penyakit Lainnya
B26,B26 Mumps,Penyakit Lainnya
B30,B30 Viral conjunctivitis,Penyakit Lainnya
B33,"B33 Other viral diseases, not elsewhere classified",Penyakit Lainnya
B34,B34 Viral infection of unspecified site,Penyakit Lainnya
B35,B35 Dermatophytosis,Penyakit Lainnya
